order_id,user_id,product_id,order_date,quantity,unit_price,discount_pct,total_amount,order_status
30001,10529,20436,2025-09-15,4,6728.2,15,22875.88,Completed
30002,11272,20073,2026-06-24,2,3546.17,25,5319.26,Completed
30003,11420,20261,2025-07-07,1,10568.75,15,8983.44,Cancelled
30004,14174,20277,2025-07-17,2,28977.63,0,57955.26,Completed
30005,11736,20259,2025-05-24,1,78491.23,0,78491.23,Completed
30006,14137,20373,2025-10-01,5,13680.29,0,68401.45,Completed
30007,14386,20231,2025-01-29,3,36787.31,0,110361.93,Cancelled
30008,11149,20195,2025-02-07,5,4460.83,0,22304.15,Cancelled
30009,11524,20293,2025-04-07,3,16657.92,0,49973.76,Completed
30010,12762,20236,2026-06-18,4,19188.67,5,72916.95,Completed
30011,10711,20291,2025-05-24,2,36790.04,5,69901.08,Completed
30012,10961,20033,2025-09-26,1,9864.28,15,8384.64,Completed
30013,14919,20182,2026-06-28,1,70833.73,25,53125.3,Returned
30014,13710,20259,2026-05-29,1,78491.23,5,74566.67,Completed
30015,10005,20176,2026-07-29,5,27448.58,0,137242.9,Pending
30016,14920,20146,2025-06-27,2,52006.39,0,104012.78,Completed
30017,10118,20131,2026-07-24,2,14138.1,15,24034.77,Completed
30018,12792,20093,2025-06-29,4,22913.99,0,91655.96,Completed
30019,14757,20357,2026-03-19,2,24392.64,20,39028.22,Completed
30020,11567,20133,2026-07-30,4,5706.25,20,18260.0,Completed
30021,14763,20009,2026-05-21,4,10655.71,15,36229.41,Completed
30022,13373,20204,2025-03-15,5,23854.66,0,119273.3,Completed
30023,13330,20016,2025-03-30,1,35306.55,15,30010.57,Completed
30024,12709,20347,2025-09-19,2,2627.59,0,5255.18,Cancelled
30025,11186,20073,2025-09-05,1,3546.17,10,3191.55,Cancelled
30026,13347,20178,2025-08-26,4,11956.29,5,45433.9,Cancelled
30027,14513,20246,2025-09-13,2,56587.73,25,84881.6,Completed
30028,11148,20185,2025-09-07,4,71730.78,15,243884.65,Completed
30029,14966,20057,2026-07-09,1,16824.2,0,16824.2,Completed
30030,13067,20363,2026-03-27,5,21824.0,0,109120.0,Completed
30031,10616,20086,2025-07-11,3,2712.89,5,7731.74,Completed
30032,13121,20017,2025-11-03,1,23627.97,20,18902.38,Completed
30033,11027,20321,2026-08-12,4,21065.61,20,67409.95,Completed
30034,13071,20313,2025-06-29,2,10506.86,5,19963.03,Completed
30035,10762,20191,2025-04-09,5,11434.6,0,57173.0,Completed
30036,12631,20195,2025-10-05,5,4460.83,0,22304.15,Completed
30037,14367,20005,2025-05-14,3,13045.38,15,33265.72,Returned
30038,12006,20406,2026-04-02,1,5226.97,5,4965.62,Completed
30039,14823,20385,2026-01-02,1,25518.24,15,21690.5,Pending
30040,10434,20175,2026-02-24,3,22495.2,0,67485.6,Completed
30041,14618,20433,2025-01-14,1,27250.58,0,27250.58,Completed
30042,12917,20132,2025-04-08,2,51883.06,0,103766.12,Completed
30043,13963,20406,2025-09-16,4,5226.97,5,19862.49,Completed
30044,12538,20088,2025-08-26,1,49973.71,0,49973.71,Completed
30045,14906,20183,2025-12-03,1,13920.81,0,13920.81,Completed
30046,11223,20288,2025-02-14,2,1198.26,25,1797.39,Completed
30047,14532,20110,2025-12-06,2,30516.08,0,61032.16,Completed
30048,12265,20066,2025-04-02,2,6123.24,20,9797.18,Completed
30049,11534,20100,2026-04-27,1,66603.48,15,56612.96,Completed
30050,14794,20453,2026-04-28,1,9305.74,5,8840.45,Completed
30051,10792,20327,2026-05-04,2,3726.26,25,5589.39,Completed
30052,13157,20228,2026-07-21,3,70917.06,0,212751.18,Completed
30053,11053,20232,2026-07-28,5,2822.88,15,11997.24,Pending
30054,12085,20235,2026-04-06,1,3081.94,10,2773.75,Completed
30055,12555,20264,2026-01-16,1,2420.17,25,1815.13,Returned
30056,13604,20036,2025-07-10,5,6771.67,15,28779.6,Completed
30057,11682,20491,2026-08-09,3,5969.84,20,14327.62,Completed
30058,12308,20268,2025-08-02,3,21597.52,5,61552.93,Completed
30059,13723,20156,2025-03-31,2,6552.13,15,11138.62,Completed
30060,13327,20002,2025-12-12,2,22300.56,0,44601.12,Completed
30061,12037,20367,2025-10-10,2,26640.79,15,45289.34,Completed
30062,13158,20078,2026-02-08,5,51364.35,0,256821.75,Completed
