product_id,product_name,category,unit_price,stock
20001,Gaming Mouse,Gaming,23149.63,237
20002,Gaming Keyboard,Gaming,22300.56,269
20003,Mobile Charger,Mobile,67029.82,167
20004,External HDD,Office,6403.28,329
20005,Smart TV,Electronics,13045.38,148
20006,Mixer,Home Appliances,3534.14,348
20007,Webcam,Accessories,9033.05,53
20008,Earbuds,Mobile,51278.59,368
20009,Camera,Electronics,10655.71,484
20010,Gaming Headset,Gaming,46150.46,18
20011,Laptop,Electronics,50954.17,219
20012,Camera,Electronics,42234.29,419
20013,Desk Lamp,Office,12939.3,53
20014,Gaming Headset,Gaming,53066.08,164
20015,Earbuds,Mobile,60382.68,407
20016,Smartphone,Mobile,35306.55,478
20017,Game Controller,Gaming,23627.97,285
20018,Power Bank,Accessories,7746.17,366
20019,Earbuds,Mobile,6506.33,349
20020,Phone Case,Mobile,72309.85,216
20021,Mouse,Accessories,8509.16,481
20022,Keyboard,Accessories,2733.06,66
20023,Earbuds,Mobile,22697.97,377
20024,Phone Case,Mobile,6302.31,257
20025,Smartwatch,Mobile,4074.84,15
20026,Power Bank,Accessories,6498.05,404
20027,Earbuds,Mobile,69505.48,420
20028,Tablet,Electronics,10342.53,324
20029,Smart TV,Electronics,71292.57,191
20030,Mouse,Accessories,3459.97,59
20031,Webcam,Accessories,6577.7,229
20032,Headphones,Accessories,4918.79,22
20033,Mixer,Home Appliances,9864.28,487
20034,Webcam,Accessories,6519.57,368
20035,Mixer,Home Appliances,6929.32,26
20036,Keyboard,Accessories,6771.67,400
20037,Game Controller,Gaming,45403.68,281
20038,SSD,Office,2838.16,355
20039,Earbuds,Mobile,44505.15,93
20040,Phone Case,Mobile,31181.61,27
20041,Printer,Electronics,29092.37,185
20042,Game Controller,Gaming,19184.87,222
20043,Desk Lamp,Office,7715.25,68
20044,Mobile Charger,Mobile,31209.42,238
20045,Earbuds,Mobile,12203.95,125
20046,Coffee Maker,Home Appliances,17953.8,61
20047,Smart TV,Electronics,60160.55,228
20048,Coffee Maker,Home Appliances,17506.74,30
20049,Vacuum Cleaner,Home Appliances,19993.72,152
20050,Smart TV,Electronics,15716.1,17
20051,External HDD,Office,12996.32,487
20052,Tablet,Electronics,55929.1,394
20053,Power Bank,Accessories,2418.21,40
20054,Mixer,Home Appliances,14664.53,308
20055,Keyboard,Accessories,4048.14,369
20056,Tablet,Electronics,57939.77,20
20057,Laptop,Electronics,16824.2,218
20058,Earbuds,Mobile,49609.4,219
20059,Desk Lamp,Office,16045.55,245
20060,Mixer,Home Appliances,8389.23,137
20061,Gaming Mouse,Gaming,5414.71,298
20062,Tablet,Electronics,60565.45,323
20063,Smartwatch,Mobile,72415.98,476
20064,Gaming Keyboard,Gaming,55821.47,171
20065,Mixer,Home Appliances,14781.18,220
20066,Power Bank,Accessories,6123.24,130
20067,Coffee Maker,Home Appliances,3376.57,80
20068,Office Chair,Office,10012.82,465
20069,Console,Gaming,31285.42,23
20070,Smartwatch,Mobile,76244.4,280
