transaction_id,order_id,user_id,transaction_date,payment_method,amount,transaction_status,transaction_reference
40001,30001,10529,2025-09-15,Wallet,22875.88,Failed,TXN00040001
40002,30002,11272,2026-06-24,UPI,5319.26,Failed,TXN00040002
40003,30003,11420,2025-07-07,Debit Card,8983.44,Refunded,TXN00040003
40004,30004,14174,2025-07-17,UPI,57955.26,Success,TXN00040004
40005,30005,11736,2025-05-24,Credit Card,78491.23,Failed,TXN00040005
40006,30006,14137,2025-10-01,Credit Card,68401.45,Success,TXN00040006
40007,30007,14386,2025-01-29,Debit Card,110361.93,Failed,TXN00040007
40008,30008,11149,2025-02-07,Credit Card,22304.15,Failed,TXN00040008
40009,30009,11524,2025-04-07,UPI,49973.76,Success,TXN00040009
40010,30010,12762,2026-06-18,UPI,72916.95,Success,TXN00040010
40011,30011,10711,2025-05-24,UPI,69901.08,Success,TXN00040011
40012,30012,10961,2025-09-26,Credit Card,8384.64,Success,TXN00040012
40013,30013,14919,2026-06-28,Net Banking,53125.3,Refunded,TXN00040013
40014,30014,13710,2026-05-29,Net Banking,74566.67,Success,TXN00040014
40015,30015,10005,2026-07-29,Credit Card,137242.9,Success,TXN00040015
40016,30016,14920,2025-06-27,Debit Card,104012.78,Success,TXN00040016
40017,30017,10118,2026-07-24,UPI,24034.77,Success,TXN00040017
40018,30018,12792,2025-06-29,UPI,91655.96,Failed,TXN00040018
40019,30019,14757,2026-03-19,Credit Card,39028.22,Success,TXN00040019
40020,30020,11567,2026-07-30,Net Banking,18260.0,Success,TXN00040020
40021,30021,14763,2026-05-21,Credit Card,36229.41,Failed,TXN00040021
40022,30022,13373,2025-03-15,Credit Card,119273.3,Failed,TXN00040022
40023,30023,13330,2025-03-30,UPI,30010.57,Success,TXN00040023
40024,30024,12709,2025-09-19,Debit Card,5255.18,Failed,TXN00040024
40025,30025,11186,2025-09-05,UPI,3191.55,Refunded,TXN00040025
40026,30026,13347,2025-08-26,Debit Card,45433.9,Refunded,TXN00040026
40027,30027,14513,2025-09-13,Wallet,84881.6,Success,TXN00040027
40028,30028,11148,2025-09-07,UPI,243884.65,Success,TXN00040028
40029,30029,14966,2026-07-09,Net Banking,16824.2,Failed,TXN00040029
40030,30030,13067,2026-03-27,UPI,109120.0,Success,TXN00040030
40031,30031,10616,2025-07-11,Net Banking,7731.74,Success,TXN00040031
40032,30032,13121,2025-11-03,Debit Card,18902.38,Success,TXN00040032
