month,total_orders,revenue
2025-01,781,46069905.6
2025-02,719,43116742.84
2025-03,805,48598766.47
2025-04,824,44078117.74
2025-05,780,45439542.21
2025-06,800,45811797.48
2025-07,746,41860078.87
2025-08,792,44269499.73
2025-09,743,43327532.87
2025-10,774,45768497.98
2025-11,753,41912456.14
2025-12,787,42643429.03
2026-01,833,47371487.82
2026-02,724,41376763.38
2026-03,800,44955796.95
2026-04,780,42725379.58
2026-05,825,45082573.43
2026-06,824,44268259.44
2026-07,847,48251589.34
2026-08,692,39220609.73
